OUTPUT:
Generation 1, Best Distance: 58.82176467941097
Generation 2, Best Distance: 58.82176467941097
Generation 3, Best Distance: 58.82176467941097
Generation 4, Best Distance: 51.478150704935004
Generation 5, Best Distance: 51.478150704935004
Generation 6, Best Distance: 51.478150704935004
Generation 7, Best Distance: 51.478150704935004
Generation 8, Best Distance: 51.478150704935004
Generation 9, Best Distance: 51.478150704935004
Generation 10, Best Distance: 51.478150704935004
Generation 11, Best Distance: 51.478150704935004
Generation 12, Best Distance: 51.478150704935004
Generation 13, Best Distance: 51.478150704935004
Generation 14, Best Distance: 51.478150704935004
Generation 15, Best Distance: 51.478150704935004
Generation 16, Best Distance: 51.478150704935004
Generation 17, Best Distance: 51.478150704935004
Generation 18, Best Distance: 51.478150704935004
Generation 19, Best Distance: 49.47726750741192
Generation 20, Best Distance: 49.47726750741192
Generation 21, Best Distance: 49.47726750741192
Generation 22, Best Distance: 49.47726750741192
Generation 23, Best Distance: 49.47726750741192
Generation 24, Best Distance: 49.47726750741192
Generation 25, Best Distance: 49.47726750741192
Generation 26, Best Distance: 49.47726750741192
Generation 27, Best Distance: 49.47726750741192
Generation 28, Best Distance: 49.47726750741192
Generation 29, Best Distance: 49.47726750741192
Generation 30, Best Distance: 49.47726750741192
Generation 31, Best Distance: 49.47726750741192
Generation 32, Best Distance: 49.47726750741192
Generation 33, Best Distance: 49.47726750741192
Generation 34, Best Distance: 49.47726750741192
Generation 35, Best Distance: 49.47726750741192
Generation 36, Best Distance: 49.47726750741192
Generation 37, Best Distance: 49.47726750741192
Generation 38, Best Distance: 49.47726750741192
Generation 39, Best Distance: 49.47726750741192
Generation 40, Best Distance: 49.47726750741192
Generation 41, Best Distance: 49.47726750741192
Generation 42, Best Distance: 49.47726750741192
Generation 43, Best Distance: 49.47726750741192
Generation 44, Best Distance: 49.47726750741192
Generation 45, Best Distance: 49.47726750741192
Generation 46, Best Distance: 49.47726750741192
Generation 47, Best Distance: 49.47726750741192
Generation 48, Best Distance: 49.47726750741192
Generation 49, Best Distance: 49.47726750741192
Generation 50, Best Distance: 49.47726750741192
Generation 51, Best Distance: 49.47726750741192
Generation 52, Best Distance: 49.47726750741192
Generation 53, Best Distance: 49.47726750741192
Generation 54, Best Distance: 49.47726750741192
Generation 55, Best Distance: 49.47726750741192
Generation 56, Best Distance: 49.47726750741192
Generation 57, Best Distance: 49.47726750741192
Generation 58, Best Distance: 49.47726750741192
Generation 59, Best Distance: 49.47726750741192
Generation 60, Best Distance: 49.47726750741192
Generation 61, Best Distance: 49.47726750741192
Generation 62, Best Distance: 49.47726750741192
Generation 63, Best Distance: 49.47726750741192
Generation 64, Best Distance: 49.47726750741192
Generation 65, Best Distance: 49.47726750741192
Generation 66, Best Distance: 49.47726750741192
Generation 67, Best Distance: 49.47726750741192
Generation 68, Best Distance: 49.47726750741192
Generation 69, Best Distance: 49.47726750741192
Generation 70, Best Distance: 49.47726750741192
Generation 71, Best Distance: 49.47726750741192
Generation 72, Best Distance: 49.47726750741192
Generation 73, Best Distance: 49.47726750741192
Generation 74, Best Distance: 49.47726750741192
Generation 75, Best Distance: 49.47726750741192
Generation 76, Best Distance: 49.47726750741192
Generation 77, Best Distance: 49.47726750741192
Generation 78, Best Distance: 49.47726750741192
Generation 79, Best Distance: 49.47726750741192
Generation 80, Best Distance: 49.47726750741192
Generation 81, Best Distance: 49.47726750741192
Generation 82, Best Distance: 49.47726750741192
Generation 83, Best Distance: 49.47726750741192
Generation 84, Best Distance: 49.47726750741192
Generation 85, Best Distance: 49.47726750741192
Generation 86, Best Distance: 49.47726750741192
Generation 87, Best Distance: 49.47726750741192
Generation 88, Best Distance: 49.47726750741192
Generation 89, Best Distance: 49.47726750741192
Generation 90, Best Distance: 49.47726750741192
Generation 91, Best Distance: 49.47726750741192
Generation 92, Best Distance: 49.47726750741192
Generation 93, Best Distance: 49.47726750741192
Generation 94, Best Distance: 49.47726750741192
Generation 95, Best Distance: 49.47726750741192
Generation 96, Best Distance: 49.47726750741192
Generation 97, Best Distance: 49.47726750741192
Generation 98, Best Distance: 49.47726750741192
Generation 99, Best Distance: 49.47726750741192
Generation 100, Best Distance: 49.47726750741192
Tour: [0, 14, 1, 2, 4, 10, 7, 13, 5, 9, 12, 11, 3, 6, 8, 0]
Total travel cost: 534.920057941953
Maximum distance between consecutive cities: 49.47726750741192


ERROR:


