OUTPUT:
gen	nevals	avg    	std    	min    	max    
0  	300   	701.753	61.6806	550.228	835.038
1  	235   	665.05 	56.6281	495.584	817.437
2  	220   	630.255	51.4992	495.584	779.12 
3  	236   	613.688	56.7772	469.32 	787.469
4  	227   	595.053	55.0705	462.348	785.399
5  	226   	582.315	53.6522	406.66 	763.691
6  	217   	564.44 	58.1947	398.036	791.934
7  	215   	545.268	59.5448	398.036	703.732
8  	234   	529.818	64.3803	398.036	750.842
9  	237   	511.202	61.2054	385.315	706.332
10 	232   	495.544	57.4783	385.315	693.887
11 	212   	484.274	63.978 	376.6  	757.406
12 	239   	474.182	59.852 	374.933	686.26 
13 	236   	458.883	53.6792	378.448	686.498
14 	212   	445.271	49.3169	376.338	684.248
15 	228   	442.098	48.3061	352.695	607.733
16 	235   	438.4  	53.343 	331.165	714.086
17 	222   	439.036	55.7949	333.721	684.789
18 	215   	432.811	54.3219	333.721	740.266
19 	236   	427.649	52.6219	310.876	656.026
20 	229   	429.418	60.4519	310.876	662.751
21 	227   	420.824	58.9746	310.876	725.715
22 	204   	412.193	57.387 	310.876	707.076
23 	221   	406.621	56.2698	307.873	630.533
24 	221   	398.073	58.7451	310.876	654.201
25 	218   	396.232	58.4347	310.876	643.141
26 	235   	389.21 	56.4244	310.876	675.317
27 	239   	385.537	62.9594	310.876	667.004
28 	248   	374.598	54.8705	307.931	635.875
29 	227   	366.684	54.3722	306.089	717.681
30 	227   	354.398	47.2329	300.914	529.153
31 	232   	350.813	51.9766	300.914	648.047
32 	231   	350.895	54.8645	297.911	666.507
33 	229   	340.317	51.1175	297.911	614.367
34 	248   	333.668	55.5537	297.911	670.934
35 	229   	318.766	43.4672	297.911	547.59 
36 	233   	319.762	52.64  	296.547	617.872
37 	225   	313.666	44.6334	296.547	590.894
38 	221   	314.003	47.0671	296.547	599.413
39 	229   	316.082	51.6387	290.221	630.374
40 	225   	313.367	46.1144	290.221	537.478
41 	236   	312.761	43.155 	290.221	561.446
42 	232   	313.093	43.3945	290.221	563.012
43 	236   	313.483	45.3566	284.874	652.944
44 	221   	313.006	51.1259	284.874	706.544
45 	239   	313.681	56.0806	278.498	622.116
46 	239   	308.047	46.6957	278.498	555.656
47 	217   	305.896	58.5458	278.498	677.058
48 	230   	302.242	54.0048	277.435	692.909
49 	222   	295.172	39.0914	277.435	552.874
50 	225   	299.65 	45.2598	277.435	522.547
51 	234   	300.985	47.7877	277.435	663.795
52 	232   	294.462	44.5379	277.435	551.596
53 	224   	297.7  	51.1799	277.435	659.693
54 	229   	291.885	43.9005	277.435	565.299
55 	217   	289.41 	43.2203	277.435	577.275
56 	224   	294.794	54.2091	277.435	698.301
57 	232   	292.785	47.219 	277.435	567.644
58 	228   	291.997	45.3227	277.435	546.999
59 	222   	288.942	40.2285	277.435	596.553
60 	238   	291.959	45.3445	277.435	543.704
61 	229   	293.956	51.334 	277.435	569.264
62 	235   	294.397	47.5976	277.435	633.214
63 	229   	295.353	55.1205	277.435	642.486
64 	210   	293.206	43.3751	277.435	546.392
65 	222   	296.011	50.7687	277.435	622.352
66 	220   	293.795	51.6808	277.435	618.218
67 	234   	296.755	55.0719	277.435	597.55 
68 	234   	293.189	43.5184	277.435	525.217
69 	223   	290.254	43.212 	277.435	598.919
70 	224   	297.766	53.436 	277.435	591.889
71 	229   	292.096	46.6121	277.435	628.973
72 	237   	292.344	44.8885	277.435	585.945
73 	237   	295.42 	50.0309	277.435	574.64 
74 	211   	295.141	50.1664	277.435	624.435
75 	233   	291.961	48.3515	277.435	603.994
76 	219   	295.204	47.3781	277.435	527.899
77 	218   	293.227	45.2524	277.435	506.662
78 	232   	293.157	49.5497	277.435	624.256
79 	244   	291.737	45.4264	277.435	617.667
80 	233   	290.61 	44.9483	277.435	579.35 
81 	228   	297.252	53.5386	277.435	594.287
82 	232   	292.246	46.7166	277.435	532.224
83 	230   	293.463	47.9172	277.435	591.934
84 	235   	292.633	45.8044	277.435	530.847
85 	231   	292.826	44.9915	277.435	600.545
86 	216   	293.796	47.9869	277.435	613.033
87 	231   	291.697	42.7351	277.435	643.902
88 	227   	294.369	52.6171	277.435	639.311
89 	223   	291.784	46.4067	277.435	584.294
