OUTPUT:
gen	nevals	avg   	min    
0  	300   	485.02	375.789
1  	216   	447.936	305.479
2  	227   	408.973	290.129
3  	232   	371.657	247.738
4  	220   	335.131	197.326
5  	231   	291.12 	143.487
6  	206   	248.651	131.022
7  	214   	210.022	85.9108
8  	237   	165.334	65.9108
9  	226   	126.303	45.6125
10 	225   	94.1356	0      
11 	240   	68.3819	0      
12 	217   	47.2625	0      
13 	206   	26.8357	0      
14 	240   	14.0321	0      
15 	206   	7.71538	0      
16 	227   	6      	0      
17 	235   	1.93333	0      
18 	227   	0.533333	0      
19 	211   	0.466667	0      
20 	236   	0.133333	0      
21 	225   	0       	0      
22 	233   	0       	0      
23 	231   	0       	0      
24 	230   	0       	0      
25 	236   	0       	0      
26 	235   	0       	0      
27 	234   	0       	0      
28 	230   	0       	0      
29 	222   	0       	0      
30 	214   	0       	0      
31 	222   	0       	0      
32 	240   	0       	0      
33 	227   	0       	0      
34 	230   	0       	0      
35 	233   	0       	0      
36 	231   	0       	0      
37 	214   	0       	0      
38 	219   	0       	0      
39 	218   	0       	0      
40 	234   	0       	0      
41 	220   	0       	0      
42 	229   	0       	0      
43 	220   	0       	0      
44 	234   	0       	0      
45 	225   	0       	0      
46 	227   	0       	0      
47 	226   	0       	0      
48 	225   	0       	0      
49 	234   	0       	0      
50 	206   	0       	0      
51 	232   	0       	0      
52 	226   	0       	0      
53 	244   	0       	0      
54 	245   	0       	0      
55 	226   	0       	0      
56 	237   	0       	0      
57 	214   	0       	0      
58 	235   	0       	0      
59 	240   	0       	0      
60 	222   	0       	0      
61 	240   	0       	0      
62 	219   	0       	0      
63 	204   	0       	0      
64 	222   	0       	0      
65 	234   	0       	0      
66 	215   	0       	0      
67 	227   	0       	0      
68 	223   	0       	0      
69 	225   	0       	0      
70 	236   	0       	0      
71 	240   	0       	0      
72 	224   	0       	0      
73 	224   	0       	0      
74 	231   	0       	0      
75 	226   	0       	0      
76 	225   	0       	0      
77 	234   	0       	0      
78 	221   	0       	0      
79 	232   	0       	0      
80 	225   	0       	0      
81 	248   	0       	0      
82 	222   	0       	0      
83 	231   	0       	0      
84 	233   	0       	0      
85 	236   	0       	0      
86 	229   	0       	0      
87 	227   	0       	0      
88 	220   	0       	0      
89 	212   	0       	0      
90 	226   	0       	0      
91 	227   	0       	0      
92 	233   	0       	0      
93 	243   	0       	0      
94 	215   	0       	0      
95 	226   	0       	0      
96 	231   	0       	0      
97 	226   	0       	0      
98 	215   	0       	0      
99 	231   	0       	0      
100	242   	0       	0      
101	242   	0       	0      
102	243   	0       	0      
103	244   	0       	0      
104	228   	0       	0      
105	236   	0       	0      
106	226   	0       	0      
107	239   	0       	0      
108	229   	0       	0      
109	240   	0       	0      
110	218   	0       	0      
111	225   	0       	0      
112	231   	0       	0      
113	224   	0       	0      
114	239   	0       	0      
115	220   	0       	0      
116	235   	0       	0      
117	245   	0       	0      
118	228   	0       	0      
119	218   	0       	0      
120	211   	0       	0      
121	231   	0       	0      
122	215   	0       	0      
123	215   	0       	0      
124	216   	0       	0      
125	244   	0       	0      
126	228   	0       	0      
127	229   	0       	0      
128	225   	0       	0      
129	229   	0       	0      
130	222   	0       	0      
131	214   	0       	0      
132	226   	0       	0      
133	232   	0       	0      
134	217   	0       	0      
135	237   	0       	0      
136	228   	0       	0      
137	223   	0       	0      
138	228   	0       	0      
139	230   	0       	0      
140	225   	0       	0      
141	215   	0       	0      
142	225   	0       	0      
143	227   	0       	0      
144	228   	0       	0      
145	213   	0       	0      
146	227   	0       	0      
147	225   	0       	0      
148	222   	0       	0      
149	235   	0       	0      
150	224   	0       	0      
151	231   	0       	0      
152	209   	0       	0      
153	235   	0       	0      
154	218   	0       	0      
155	223   	0       	0      
156	215   	0       	0      
157	231   	0       	0      
158	243   	0       	0      
159	243   	0       	0      
160	220   	0       	0      
161	228   	0       	0      
162	243   	0       	0      
163	238   	0       	0      
164	235   	0       	0      
165	223   	0       	0      
166	239   	0       	0      
167	217   	0       	0      
168	205   	0       	0      
169	219   	0       	0      
170	241   	0       	0      
171	223   	0       	0      
172	229   	0       	0      
173	225   	0       	0      
174	230   	0       	0      
175	220   	0       	0      
176	225   	0       	0      
177	234   	0       	0      
178	221   	0       	0      
179	216   	0       	0      
180	233   	0       	0      
181	239   	0       	0      
182	230   	0       	0      
183	241   	0       	0      
184	215   	0       	0      
185	237   	0       	0      
186	236   	0       	0      
187	217   	0       	0      
188	206   	0       	0      
189	230   	0       	0      
190	232   	0       	0      
191	229   	0       	0      
192	227   	0       	0      
193	231   	0       	0      
194	233   	0       	0      
195	218   	0       	0      
196	208   	0       	0      
197	236   	0       	0      
198	227   	0       	0      
199	228   	0       	0      
200	225   	0       	0      
201	225   	0       	0      
202	221   	0       	0      
203	240   	0       	0      
204	225   	0       	0      
205	221   	0       	0      
206	220   	0       	0      
207	235   	0       	0      
208	220   	0       	0      
209	220   	0       	0      
210	248   	0       	0      
211	236   	0       	0      
212	242   	0       	0      
213	228   	0       	0      
214	226   	0       	0      
215	236   	0       	0      
216	213   	0       	0      
217	230   	0       	0      
218	219   	0       	0      
219	223   	0       	0      
220	227   	0       	0      
221	250   	0       	0      
222	228   	0       	0      
223	243   	0       	0      
224	240   	0       	0      
225	224   	0       	0      
226	231   	0       	0      
227	229   	0       	0      
228	223   	0       	0      
229	231   	0       	0      
230	219   	0       	0      
231	215   	0       	0      
232	247   	0       	0      
233	250   	0       	0      
234	226   	0       	0      
235	233   	0       	0      
236	247   	0       	0      
237	236   	0       	0      
238	225   	0       	0      
239	225   	0       	0      
240	214   	0       	0      
241	239   	0       	0      
242	239   	0       	0      
243	227   	0       	0      
244	224   	0       	0      
245	229   	0       	0      
246	246   	0       	0      
247	237   	0       	0      
248	219   	0       	0      
249	230   	0       	0      
250	220   	0       	0      
251	237   	0       	0      
252	223   	0       	0      
253	222   	0       	0      
254	219   	0       	0      
255	225   	0       	0      
256	229   	0       	0      
257	241   	0       	0      
258	232   	0       	0      
259	223   	0       	0      
260	230   	0       	0      
261	238   	0       	0      
262	234   	0       	0      
