BTSP

file_path: city_10_instance_0.txt:	0.13 s

file_path: city_10_instance_1.txt:	0.08 s

file_path: city_10_instance_2.txt:	0.05 s

file_path: city_10_instance_3.txt:	0.08 s

file_path: city_10_instance_4.txt:	0.07 s

file_path: city_15_instance_0.txt:	10.29 s

file_path: city_15_instance_1.txt:	8.09 s

file_path: city_15_instance_2.txt:	12.29 s

file_path: city_15_instance_3.txt:	6.64 s

file_path: city_15_instance_4.txt:	5.38 s

file_path: city_20_instance_0.txt:	1144.67 s

file_path: city_20_instance_1.txt:	843.19 s

file_path: city_20_instance_2.txt:	700.58 s

file_path: city_20_instance_3.txt:	841.51 s

file_path: city_20_instance_4.txt:	423.12 s

