KTSP

file_path: city_10_instance_0.txt:	0.04 s

file_path: city_10_instance_1.txt:	0.01 s

file_path: city_10_instance_2.txt:	0.08 s

file_path: city_10_instance_3.txt:	0.02 s

file_path: city_10_instance_4.txt:	0.03 s

file_path: city_15_instance_0.txt:	0.13 s

file_path: city_15_instance_1.txt:  0.60 s

file_path: city_15_instance_2.txt:	5.37 s

file_path: city_15_instance_3.txt:	2.66 s

file_path: city_15_instance_4.txt:	1.97 s

file_path: city_20_instance_0.txt:	0.69 s

file_path: city_20_instance_1.txt:	126.69 s

file_path: city_20_instance_2.txt:	476.63 s

file_path: city_20_instance_3.txt:	611.16 s

file_path: city_20_instance_4.txt:	331.55 s

