TSP

file_path: city_10_instance_0.txt:	0.07 s

file_path: city_10_instance_1.txt:	0.03 s

file_path: city_10_instance_2.txt:	0.03 s

file_path: city_10_instance_3.txt:	0.03 s

file_path: city_10_instance_4.txt:	0.03 s

file_path: city_15_instance_0.txt:	3.46 s

file_path: city_15_instance_1.txt:	2.60 s

file_path: city_15_instance_2.txt:	2.59 s

file_path: city_15_instance_3.txt:	2.65 s

file_path: city_15_instance_4.txt:	2.57 s

file_path: city_20_instance_0.txt:	236.81 s

file_path: city_20_instance_1.txt:	239.53 s

file_path: city_20_instance_2.txt:	399.21 s

file_path: city_20_instance_3.txt:	238.29 s

file_path: city_20_instance_4.txt:	292.31 s

